Model name,Features names,Error,Date Time
LogisticRegression,border_smooth_sample local_maxima_without_smoothing,0.370556108891,2016-11-15 11:50:14.034000
LogisticRegression,border_smooth_sample PCA_transform,0.357819671573,2016-11-15 11:50:14.537000
LogisticRegression,smooth_sample spread,0.522379674381,2016-11-15 11:50:15.630000
LogisticRegression,smooth_sample grey_white_ratio,0.357234464534,2016-11-15 11:50:15.843000
LogisticRegression,smooth_sample mean_feature,0.354335834704,2016-11-15 11:50:16.711000
LogisticRegression,smooth_sample variance_feature,0.338445540961,2016-11-15 11:50:16.912000
LogisticRegression,smooth_sample local_maxima_3,0.363134842832,2016-11-15 11:50:17.128000
LogisticRegression,smooth_sample local_maxima_without_smoothing,0.372012926439,2016-11-15 11:50:17.460000
LogisticRegression,smooth_sample PCA_transform,0.354518161672,2016-11-15 11:50:17.983000
LogisticRegression,spread grey_white_ratio,0.533586562028,2016-11-15 11:50:19.117000
LogisticRegression,spread mean_feature,0.53812919338,2016-11-15 11:50:20.264000
LogisticRegression,spread variance_feature,0.574985296643,2016-11-15 11:50:22.983000
LogisticRegression,spread local_maxima_3,0.633066687731,2016-11-15 11:50:24.341000
LogisticRegression,spread local_maxima_without_smoothing,0.691715823293,2016-11-15 11:50:25.638000
LogisticRegression,spread PCA_transform,0.548895128406,2016-11-15 11:50:26.818000
LogisticRegression,grey_white_ratio mean_feature,0.453562726307,2016-11-15 11:50:26.870000
LogisticRegression,grey_white_ratio variance_feature,0.401675756898,2016-11-15 11:50:26.936000
LogisticRegression,grey_white_ratio local_maxima_3,0.418785057312,2016-11-15 11:50:27.011000
LogisticRegression,grey_white_ratio local_maxima_without_smoothing,0.436784739354,2016-11-15 11:50:27.125000
LogisticRegression,grey_white_ratio PCA_transform,0.330302915538,2016-11-15 11:50:27.178000
LogisticRegression,mean_feature variance_feature,0.382197228027,2016-11-15 11:50:27.241000
LogisticRegression,mean_feature local_maxima_3,0.459965771317,2016-11-15 11:50:27.325000
LogisticRegression,mean_feature local_maxima_without_smoothing,0.429094296938,2016-11-15 11:50:27.479000
LogisticRegression,mean_feature PCA_transform,0.323285571702,2016-11-15 11:50:27.541000
LogisticRegression,variance_feature local_maxima_3,0.390291479267,2016-11-15 11:50:27.595000
LogisticRegression,variance_feature local_maxima_without_smoothing,0.395747623856,2016-11-15 11:50:27.679000
LogisticRegression,variance_feature PCA_transform,0.323320079457,2016-11-15 11:50:27.742000
LogisticRegression,local_maxima_3 local_maxima_without_smoothing,0.429039844702,2016-11-15 11:50:27.879000
