Model name,Features names,Error,Date Time
LogisticRegression,polyfit spread mean_feature,0.732856612782,2016-11-17 01:41:11.424000
LogisticRegression,polyfit spread variance_feature,0.725411823403,2016-11-17 01:41:14.609000
LogisticRegression,polyfit spread local_maxima_3,0.729650758372,2016-11-17 01:41:17.327000
LogisticRegression,polyfit spread local_maxima_without_smoothing,0.769640157721,2016-11-17 01:41:20.046000
LogisticRegression,polyfit spread PCA_transform,0.731308264103,2016-11-17 01:41:22.775000
LogisticRegression,polyfit grey_white_ratio mean_feature,0.399434725959,2016-11-17 01:41:22.843000
LogisticRegression,polyfit grey_white_ratio variance_feature,0.378684790113,2016-11-17 01:41:22.899000
LogisticRegression,polyfit grey_white_ratio local_maxima_3,0.366280817431,2016-11-17 01:41:23.018000
LogisticRegression,polyfit grey_white_ratio local_maxima_without_smoothing,0.410065996569,2016-11-17 01:41:23.119000
LogisticRegression,polyfit grey_white_ratio PCA_transform,0.325571327683,2016-11-17 01:41:23.175000
LogisticRegression,polyfit mean_feature variance_feature,0.380442909814,2016-11-17 01:41:23.238000
LogisticRegression,polyfit mean_feature local_maxima_3,0.35605192278,2016-11-17 01:41:23.376000
LogisticRegression,polyfit mean_feature local_maxima_without_smoothing,0.41136355708,2016-11-17 01:41:23.508000
LogisticRegression,polyfit mean_feature PCA_transform,0.327099388162,2016-11-17 01:41:23.577000
LogisticRegression,polyfit variance_feature local_maxima_3,0.353501368034,2016-11-17 01:41:23.655000
LogisticRegression,polyfit variance_feature local_maxima_without_smoothing,0.391944489267,2016-11-17 01:41:23.739000
LogisticRegression,polyfit variance_feature PCA_transform,0.326780970037,2016-11-17 01:41:23.808000
LogisticRegression,polyfit local_maxima_3 local_maxima_without_smoothing,0.407446689223,2016-11-17 01:41:23.978000
LogisticRegression,polyfit local_maxima_3 PCA_transform,0.330291140047,2016-11-17 01:41:24.078000
LogisticRegression,polyfit local_maxima_without_smoothing PCA_transform,0.363425384742,2016-11-17 01:41:24.178000
LogisticRegression,border_smooth_sample smooth_sample spread,0.727751007973,2016-11-17 01:41:26.878000
LogisticRegression,border_smooth_sample smooth_sample grey_white_ratio,0.369517428384,2016-11-17 01:41:35.094000
LogisticRegression,border_smooth_sample smooth_sample mean_feature,0.369526493069,2016-11-17 01:41:45.142000
LogisticRegression,border_smooth_sample smooth_sample variance_feature,0.357669653135,2016-11-17 01:41:46.029000
LogisticRegression,border_smooth_sample smooth_sample local_maxima_3,0.393234981984,2016-11-17 01:41:51.786000
LogisticRegression,border_smooth_sample smooth_sample local_maxima_without_smoothing,0.454948780526,2016-11-17 01:41:58.567000
LogisticRegression,border_smooth_sample smooth_sample PCA_transform,0.377181626933,2016-11-17 01:42:11.803000
LogisticRegression,border_smooth_sample spread grey_white_ratio,0.728377127954,2016-11-17 01:42:14.461000
LogisticRegression,border_smooth_sample spread mean_feature,0.715619009508,2016-11-17 01:42:17.296000
